,job_title,salary_min,salary_max,company_name,company_location,link
26,Senior Systems Administrator,"80,673","104,939",University of Victoria,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=08a2b29567da1031&bb=GQNvVje14o-vuPVY5Vk4SrFEyKUbfTB7aOH7r58TxsNMqkF0zjueVr2ULbiSx4FfK2QVrEkRPGlVi4fLKGGTcD5MKFL1gcyzXkVffyVxjmw%3D&xkcb=SoA967M3H8oBngzRip0BbzkdCdPP&fccid=95737967a35b2629&vjs=3
27,Software Development Manager,click link to find,click link to find,Blastworks,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=a3a459eaa3b38e61&bb=GQNvVje14o-vuPVY5Vk4Sr-QQiq0Pgnlf0Z6eeDX7MyN8g5npzDtPHIvIG_eXPW79M1ZxWn6cExEKX8flm2dDKcil8d6Q3yoVHtiVzIaw7w%3D&xkcb=SoCJ67M3H8oBngzRip0AbzkdCdPP&fccid=1065ffb4f3a2f402&vjs=3
28,Business Solutions Analyst III,click link to find,click link to find,British Columbia Investment Management Corporation...,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=3218fb87de0a4f6f&bb=GQNvVje14o-vuPVY5Vk4SqtNZe7dwzrgMKYr23KFNWy3PaI0n_eIb-jYr7T06FApYPN-_KgU83UKBiL_fKhy-avqi1_ysILnol2IHfRj3qs%3D&xkcb=SoAH67M3H8oBngzRip0HbzkdCdPP&fccid=b6c48b02cbfe9184&vjs=3
29,Bilingual Citrix/Netscaler Administrator (French/English),"85,000","90,000",Compugen Inc,Canada,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DR4GiK6CUKhkGG-NaBlbw_pIURb9Jhix8hN__aZXgF68yK75Ij4T_e_BrNeMX-crQtgeScmotBHfAAKPFqArVwVVL6yTo3s97buBSDvhpuq7OILIb9DJUKJUX6CWdZ4cBEVcADh2jWxW9Tv_ThwDZEdJrVtIFnMTucQcva5APY3UvSB-xxT7_XGeCXW4PtFuTN4rU5_1VPUwqxWOdlEAjY7ub8yBFVV4ghuYtmjxy10gMIE9irdZESodeBGudxxLhbIlVvR21OZdrSpcLjSpfYN1iJk56GMpDW_bqdTqvGBm_A212UESOZ36r_iwrcRndccs41Gqox0Cv4PC6qkvH1_IoGTfMgGAj61U5BKRdMgt77g2OxLj-EXqiLFa4qHgxIRtOQf0IMvINJdmW4T8t-_NhYrECERfkpbukpdVr3rP4N3Uz5PMMLddMHkwsCqh91fSaXISn8sojw30Hc71i6nwTel-dZj2wSGTXO8kdz3BFmh3bYzGMpzjk5VX3YV77axMf1FR_lDF88EXcwSSPj-Fc2hnExSFZHkFEI5X5-8I-oIUVpy4IgJ-OPU2aoMya-toaPKJMK9EjrQpuvl3KcKm_TzkkOSJuD0VgxNdOmjs1AaENFNhNoBiG3Xm3AKpsCWazRbQMz8NRBg_R9ElKedxrTi8Luokb2TOblVEyfRPRiZKBjCf1kpICLLN0M79o=&xkcb=SoBH6_M3H8oBngzRip0GbzkdCdPP&p=13&fvj=0&vjs=3
30,Senior - Staff iOS Engineer,"100,000","200,000",Recruiting From Scratch,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=e503dfcb874231ec&bb=GQNvVje14o-vuPVY5Vk4Ssw-kaHljkRa14JyU3fUQj5t811dRAB4o24Y0FXi-7tSd0IQj9A5U8A0a5zccKD0KFombgI3BY0TyEpBaYsEVRg%3D&xkcb=SoAu67M3H8oBngzRip0FbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
31,IT Test Automation Lead,"81,080","101,349",BC Ferries,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=a1b748e8b484fddc&bb=T9A-CdQI6oMYotXZKWEzOdufy2gVnP-H7zlX28aGdsHhui-CiRZMBJFMo4VE1ecc&xkcb=SoBQ67M3H8oBSs2fxp0LbzkdCdPP&fccid=f041e48fe88e993f&vjs=3
32,Junior Recipe & Product Developer,click link to find,click link to find,Epicure,"Hybrid remote in North Saanich, BC",https://ca.indeed.com/rc/clk?jk=8a9715abd760ea48&bb=dCbocbITNhn8BiQ1U7SPphpfBFHd-cVazrQxM4MWh2l7zXG04M1DQhl0_U5skQJS&xkcb=SoAJ67M3H8oBSvWfxp0LbzkdCdPP&fccid=b41fc63dd6816680&vjs=3
33,Job Description,click link to find,click link to find,City of Colwood,"Colwood, BC",https://ca.indeed.com/rc/clk?jk=911983c402ebd930&bb=dCbocbITNhmuFPQFC28pQSY7DOpoRESIPbkDf1pitaG6Wb8eLPFFajZJKmcv5J9C&xkcb=SoAg67M3H8oBSvWfxp0JbzkdCdPP&fccid=6a15564ddd22a3f5&vjs=3
34,Android Developer : Java,click link to find,click link to find,OneNet Marketing,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=9e93cf7c5945043c&bb=dCbocbITNhnapvKN2LGXH5JzmYyy5JOF-Nx8B33hXH_utcvWqUUamecJfqzyLZhm&xkcb=SoCu67M3H8oBSvWfxp0ObzkdCdPP&fccid=916f04a55fb5fb94&vjs=3
35,Job Posting,click link to find,click link to find,City of Colwood,"Colwood, BC",https://ca.indeed.com/rc/clk?jk=aa54b296119e0885&bb=dCbocbITNhlAB_cimCGwCgmSiKfCHnrcZjxhfjprmnzLMwnOxHVYPUfIQZ6E1AZf&xkcb=SoCH67M3H8oBSvWfxp0MbzkdCdPP&fccid=6a15564ddd22a3f5&vjs=3
