index,job_title,salary_min,salary_max,company_name,company_location,link
40,Senior Software Engineer - Frontend,"104,000","193,200",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=9b303bd8ea7d8c9a&bb=Ry8HENahnchdjTspjqK1dlGPq91J4gDjfCD2hwsOCwEnPw1pR0hsqvfjPSD9-S9d&xkcb=SoCq67M3H8za1gWNtJ0ObzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
41,"Director, Product Analytics & Data Science","173,400","227,500",Lululemon,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6e4fc04db929dd40&bb=Yn-c61Pd4yzBAnrqeMCncOxG0rd-Ts-Fgw6R9EMGXUu2oizfVrCBlwDEgu2g5Z5b&xkcb=SoBI67M3H8za1g2NtJ0LbzkdCdPP&fccid=43f0f7dbd55927e9&vjs=3
42,Staff Software Engineer - Digital Transaction,"141,000","185,000",Lululemon,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=364eabd58cc3185a&bb=Yn-c61Pd4yxu9ENJS55W1X8juM4byjIszRvCypRFtrYmFh-kJPePva-q6Y4jr-XT&xkcb=SoBh67M3H8za1g2NtJ0JbzkdCdPP&fccid=43f0f7dbd55927e9&vjs=3
43,Software Developer,"62,400","68,640",GOKABU TECHNOLOGIES,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=8dc3c0f5f5ff5603&bb=Yn-c61Pd4ywAgzMxLrOC0hVDAhUSvpVZFc-faNRBMdyOI6L3r8yYefKihpmeCjdp&xkcb=SoBb67M3H8za1g2NtJ0PbzkdCdPP&fccid=1af9b19da9d648b0&vjs=3
44,"Software Engineer, TikTok Business Integrity","117,000","210,960",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=573280da0a1b23d3&bb=xV-nuyWM1fOmzcAMr1eYd2dtB4Ys5IBKrPudfaAvfzP8k8VcYRbbEYzUe9Vr2k_H&xkcb=SoBy67M3H8za1g2NtJ0NbzkdCdPP&fccid=caed318a9335aac0&vjs=3
45,Software Developer Co-op Internship- Backend,not given,not given,Numerix,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=00a159f84ebfde9b&bb=AnMEf7YTfaZtgVN_bhX1Vgpv7SdOjo-sGMzSg6Q2U72g4j-Ruc4fphH1N9CzMvvC&xkcb=SoDw67M3H8zavZWfxp0JbzkdCdPP&fccid=bea74927fd353048&vjs=3
46,Junior Data Scientist,not given,not given,Theory and Practice,"Hybrid remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6270ac9a4cc5355e&bb=jbbMBhAQsSksu-blEmL0VDWKPZw4-xC41Xio4GHtaU0tmI6wUeFND7K_DelcQVH1&xkcb=SoAo67M3H8zavZ2fxp0KbzkdCdPP&fccid=a503b36b0698d3d5&vjs=3
47,Software Engineer,not given,not given,Imperva,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=944bfd17e26bf4ff&bb=II2mtc7dg0AkH8C9JAnkW5RoOF6bZPmZ5Gfurknjh7_FkKX1U0aJ5A4np5xSOT9o&xkcb=SoAS67M3H8zavYWfxp0LbzkdCdPP&fccid=a83aa9033316475b&vjs=3
48,"Manager, Software Development Engineering","120,000","180,000",Workday,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=0e09d5d4109851af&bb=II2mtc7dg0A76B-OAHTvF3TB7mV88uE1GEqesfJUQzGwBY-QaxqP4iRhKxGTbPKT&xkcb=SoA767M3H8zavYWfxp0JbzkdCdPP&fccid=9ac45d217f8342a1&vjs=3
49,Backend Software Engineer,not given,not given,ActiveState,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=0e48809d1ece6b60&bb=ta0uHp-F5ogjk54Ybunv1m0AAMsEK7_xmX6uUrrt2zrytluRYTwGw1FmqH9wcSuF&xkcb=SoAB67M3H8zavYWfxp0PbzkdCdPP&fccid=c7e2845bd1feaf62&vjs=3
50,Senior Software Development Engineer in Test (SDET),"80,000","90,000",Eventbase,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c2a12fcda4ad2f3c&bb=ta0uHp-F5oj_LkRabb9j22ErO8ZcfgnndoGs0Y2yibN5cbE19a4AylTS3iOY9D8G&xkcb=SoDK67M3H8zavY2fxp0IbzkdCdPP&fccid=ae6e5e3426c2cfcb&vjs=3
51,Software Quality Assurance Analyst - FTT,"7,255","8,725",TransLink,"Metro Vancouver Regional District, BC",https://ca.indeed.com/rc/clk?jk=a84d1a195d71e52d&bb=X7655DoEDCxmEi5hHCG0oYlklPoZ9duurvnACxiTcH2zcdH0irnc2xkZfaV9waLl&xkcb=SoDw67M3H8zavY2fxp0ObzkdCdPP&fccid=966bd00de3e8ab9d&vjs=3
